uid	dataid	image	label
i0000	crc	TrainingBatch1/volume-0.nii	TrainingBatch1/segmentation-0.nii
i0001	crc	TrainingBatch1/volume-1.nii	TrainingBatch1/segmentation-1.nii
i0002	crc	TrainingBatch1/volume-2.nii	TrainingBatch1/segmentation-2.nii
i0003	crc	TrainingBatch1/volume-3.nii	TrainingBatch1/segmentation-3.nii
i0004	crc	TrainingBatch1/volume-4.nii	TrainingBatch1/segmentation-4.nii
i0005	crc	TrainingBatch1/volume-5.nii	TrainingBatch1/segmentation-5.nii
i0006	crc	TrainingBatch1/volume-6.nii	TrainingBatch1/segmentation-6.nii
i0007	crc	TrainingBatch1/volume-7.nii	TrainingBatch1/segmentation-7.nii
i0008	crc	TrainingBatch1/volume-8.nii	TrainingBatch1/segmentation-8.nii
i0009	crc	TrainingBatch1/volume-9.nii	TrainingBatch1/segmentation-9.nii
i0010	crc	TrainingBatch1/volume-10.nii	TrainingBatch1/segmentation-10.nii
i0011	crc	TrainingBatch1/volume-11.nii	TrainingBatch1/segmentation-11.nii
i0012	crc	TrainingBatch1/volume-12.nii	TrainingBatch1/segmentation-12.nii
i0013	crc	TrainingBatch1/volume-13.nii	TrainingBatch1/segmentation-13.nii
i0014	crc	TrainingBatch1/volume-14.nii	TrainingBatch1/segmentation-14.nii
i0015	crc	TrainingBatch1/volume-15.nii	TrainingBatch1/segmentation-15.nii
i0016	crc	TrainingBatch1/volume-16.nii	TrainingBatch1/segmentation-16.nii
i0017	crc	TrainingBatch1/volume-17.nii	TrainingBatch1/segmentation-17.nii
i0018	crc	TrainingBatch1/volume-18.nii	TrainingBatch1/segmentation-18.nii
i0019	crc	TrainingBatch1/volume-19.nii	TrainingBatch1/segmentation-19.nii
i0020	crc	TrainingBatch1/volume-20.nii	TrainingBatch1/segmentation-20.nii
i0021	crc	TrainingBatch1/volume-21.nii	TrainingBatch1/segmentation-21.nii
i0022	crc	TrainingBatch1/volume-22.nii	TrainingBatch1/segmentation-22.nii
i0023	crc	TrainingBatch1/volume-23.nii	TrainingBatch1/segmentation-23.nii
i0024	crc	TrainingBatch1/volume-24.nii	TrainingBatch1/segmentation-24.nii
i0025	crc	TrainingBatch1/volume-25.nii	TrainingBatch1/segmentation-25.nii
i0026	crc	TrainingBatch1/volume-26.nii	TrainingBatch1/segmentation-26.nii
